-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  -6.882   Longitude 107.6172 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 921.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2024,1,1,0,0.0,20.8
2024,1,1,1,0.0,20.65
2024,1,1,2,0.0,20.48
2024,1,1,3,0.0,20.31
2024,1,1,4,0.0,20.25
2024,1,1,5,2.8,20.3
2024,1,1,6,77.72,21.5
2024,1,1,7,262.98,22.85
2024,1,1,8,454.1,24.04
2024,1,1,9,637.8,25.38
2024,1,1,10,742.0,26.56
2024,1,1,11,750.75,27.21
2024,1,1,12,723.03,27.37
2024,1,1,13,667.72,27.16
2024,1,1,14,480.88,26.81
2024,1,1,15,339.6,26.18
2024,1,1,16,189.18,25.43
2024,1,1,17,47.1,24.27
2024,1,1,18,0.0,22.98
2024,1,1,19,0.0,22.46
2024,1,1,20,0.0,22.38
2024,1,1,21,0.0,22.34
2024,1,1,22,0.0,22.31
2024,1,1,23,0.0,22.21
2024,1,2,0,0.0,22.22
2024,1,2,1,0.0,22.21
2024,1,2,2,0.0,22.2
2024,1,2,3,0.0,22.15
2024,1,2,4,0.0,22.09
2024,1,2,5,1.77,22.01
2024,1,2,6,53.92,22.55
2024,1,2,7,154.52,23.2
2024,1,2,8,268.48,23.86
2024,1,2,9,404.6,24.39
2024,1,2,10,472.12,24.84
2024,1,2,11,633.05,24.86
2024,1,2,12,611.95,24.84
2024,1,2,13,527.65,24.78
2024,1,2,14,428.23,24.48
2024,1,2,15,293.05,24.14
2024,1,2,16,161.88,23.68
2024,1,2,17,39.05,23.18
2024,1,2,18,0.0,22.71
2024,1,2,19,0.0,22.55
2024,1,2,20,0.0,22.45
2024,1,2,21,0.0,22.36
2024,1,2,22,0.0,22.19
2024,1,2,23,0.0,22.06
2024,1,3,0,0.0,21.93
2024,1,3,1,0.0,21.85
2024,1,3,2,0.0,21.75
2024,1,3,3,0.0,21.62
2024,1,3,4,0.0,21.52
2024,1,3,5,0.0,21.44
2024,1,3,6,21.05,22.1
2024,1,3,7,57.58,22.69
2024,1,3,8,100.28,23.22
2024,1,3,9,227.77,23.92
2024,1,3,10,389.92,24.77
2024,1,3,11,469.3,25.49
2024,1,3,12,465.45,25.81
2024,1,3,13,406.73,25.78
2024,1,3,14,299.4,25.07
