-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  41.3794   Longitude 2.1245 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2024,1,1,0,0.0,6.64
2024,1,1,1,0.0,6.85
2024,1,1,2,0.0,7.11
2024,1,1,3,0.0,7.57
2024,1,1,4,0.0,7.94
2024,1,1,5,0.0,8.12
2024,1,1,6,0.0,8.32
2024,1,1,7,11.68,8.63
2024,1,1,8,108.03,9.15
2024,1,1,9,214.23,9.86
2024,1,1,10,296.1,10.17
2024,1,1,11,339.65,10.5
2024,1,1,12,340.33,11.16
2024,1,1,13,289.9,12.45
2024,1,1,14,199.75,13.05
2024,1,1,15,87.15,11.8
2024,1,1,16,5.93,9.45
2024,1,1,17,0.0,8.47
2024,1,1,18,0.0,7.97
2024,1,1,19,0.0,7.35
2024,1,1,20,0.0,6.62
2024,1,1,21,0.0,5.57
2024,1,1,22,0.0,5.12
2024,1,1,23,0.0,4.49
2024,1,2,0,0.0,4.35
2024,1,2,1,0.0,4.31
2024,1,2,2,0.0,3.9
2024,1,2,3,0.0,3.61
2024,1,2,4,0.0,3.5
2024,1,2,5,0.0,3.69
2024,1,2,6,0.0,3.72
2024,1,2,7,11.52,4.25
2024,1,2,8,62.97,7.08
2024,1,2,9,127.4,9.29
2024,1,2,10,165.1,10.83
2024,1,2,11,172.12,11.03
2024,1,2,12,134.3,10.86
2024,1,2,13,127.3,10.96
2024,1,2,14,96.53,11.88
2024,1,2,15,45.8,11.69
2024,1,2,16,3.6,10.0
2024,1,2,17,0.0,8.84
2024,1,2,18,0.0,8.54
2024,1,2,19,0.0,8.76
2024,1,2,20,0.0,9.12
2024,1,2,21,0.0,8.49
2024,1,2,22,0.0,8.16
2024,1,2,23,0.0,8.3
2024,1,3,0,0.0,8.3
2024,1,3,1,0.0,7.78
2024,1,3,2,0.0,7.77
2024,1,3,3,0.0,7.94
2024,1,3,4,0.0,8.2
2024,1,3,5,0.0,7.85
2024,1,3,6,0.0,7.68
2024,1,3,7,8.57,7.89
2024,1,3,8,55.9,10.34
2024,1,3,9,107.78,12.42
2024,1,3,10,143.43,14.26
2024,1,3,11,160.7,15.39
2024,1,3,12,134.95,16.01
2024,1,3,13,154.75,16.39
2024,1,3,14,101.22,15.94
2024,1,3,15,31.42,14.58
2024,1,3,16,2.97,12.86
2024,1,3,17,0.0,11.46
2024,1,3,18,0.0,10.62
2024,1,3,19,0.0,10.14
2024,1,3,20,0.0,9.91
2024,1,3,21,0.0,9.65
2024,1,3,22,0.0,9.38
2024,1,3,23,0.0,9.26
2024,1,4,0,0.0,9.17
2024,1,4,1,0.0,9.01
2024,1,4,2,0.0,8.73
2024,1,4,3,0.0,8.3
2024,1,4,4,0.0,7.79
2024,1,4,5,0.0,7.4
2024,1,4,6,0.0,7.49
2024,1,4,7,10.43,8.37
2024,1,4,8,93.43,10.57
2024,1,4,9,195.45,12.43
2024,1,4,10,267.77,13.56
2024,1,4,11,304.0,14.49
2024,1,4,12,296.92,15.11
2024,1,4,13,292.95,15.13
2024,1,4,14,194.5,14.47
2024,1,4,15,79.7,13.47
2024,1,4,16,6.15,11.56
2024,1,4,17,0.0,10.92
2024,1,4,18,0.0,10.89
2024,1,4,19,0.0,10.97
2024,1,4,20,0.0,10.81
2024,1,4,21,0.0,10.35
2024,1,4,22,0.0,10.09
2024,1,4,23,0.0,9.73
2024,1,5,0,0.0,9.3
2024,1,5,1,0.0,9.08
2024,1,5,2,0.0,8.85
2024,1,5,3,0.0,8.79
2024,1,5,4,0.0,9.05
2024,1,5,5,0.0,9.26
2024,1,5,6,0.0,9.02
2024,1,5,7,6.57,8.73
2024,1,5,8,38.75,9.24
2024,1,5,9,61.53,11.02
2024,1,5,10,95.03,12.49
2024,1,5,11,121.12,13.61
