-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  53.4624   Longitude -2.2772 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 126.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2024,1,1,0,0.0,6.63
2024,1,1,1,0.0,6.49
2024,1,1,2,0.0,6.32
2024,1,1,3,0.0,6.05
2024,1,1,4,0.0,5.83
2024,1,1,5,0.0,5.7
2024,1,1,6,0.0,5.68
2024,1,1,7,0.0,5.67
2024,1,1,8,0.0,5.48
2024,1,1,9,56.78,5.46
2024,1,1,10,121.47,5.86
2024,1,1,11,171.2,6.39
2024,1,1,12,165.48,6.58
2024,1,1,13,116.0,6.37
2024,1,1,14,71.62,5.78
2024,1,1,15,15.18,5.35
2024,1,1,16,0.0,5.12
2024,1,1,17,0.0,4.98
2024,1,1,18,0.0,4.82
2024,1,1,19,0.0,4.65
2024,1,1,20,0.0,4.96
2024,1,1,21,0.0,5.74
2024,1,1,22,0.0,6.86
2024,1,1,23,0.0,7.87
2024,1,2,0,0.0,8.84
2024,1,2,1,0.0,8.78
2024,1,2,2,0.0,8.23
2024,1,2,3,0.0,7.69
2024,1,2,4,0.0,7.29
2024,1,2,5,0.0,7.19
2024,1,2,6,0.0,7.29
2024,1,2,7,0.0,7.33
2024,1,2,8,0.0,7.15
2024,1,2,9,16.98,7.51
2024,1,2,10,33.17,7.6
2024,1,2,11,43.85,7.56
2024,1,2,12,23.1,7.55
2024,1,2,13,13.85,7.41
2024,1,2,14,14.62,7.02
2024,1,2,15,4.62,6.49
2024,1,2,16,0.0,6.15
2024,1,2,17,0.0,6.14
2024,1,2,18,0.0,6.26
2024,1,2,19,0.0,6.39
2024,1,2,20,0.0,6.88
2024,1,2,21,0.0,7.24
2024,1,2,22,0.0,7.32
2024,1,2,23,0.0,7.19
2024,1,3,0,0.0,7.07
2024,1,3,1,0.0,6.98
2024,1,3,2,0.0,6.83
2024,1,3,3,0.0,6.73
2024,1,3,4,0.0,6.6
2024,1,3,5,0.0,6.54
2024,1,3,6,0.0,6.56
2024,1,3,7,0.0,6.48
2024,1,3,8,0.0,6.32
2024,1,3,9,33.85,6.54
2024,1,3,10,67.35,7.01
2024,1,3,11,89.57,7.25
2024,1,3,12,90.1,7.23
2024,1,3,13,63.9,7.23
2024,1,3,14,33.08,7.28
2024,1,3,15,10.75,6.94
2024,1,3,16,0.0,6.63
2024,1,3,17,0.0,6.56
2024,1,3,18,0.0,6.16
2024,1,3,19,0.0,5.71
2024,1,3,20,0.0,5.45
2024,1,3,21,0.0,5.41
2024,1,3,22,0.0,5.56
2024,1,3,23,0.0,5.77
2024,1,4,0,0.0,6.12
2024,1,4,1,0.0,6.42
2024,1,4,2,0.0,6.52
2024,1,4,3,0.0,6.54
2024,1,4,4,0.0,6.3
2024,1,4,5,0.0,6.08
2024,1,4,6,0.0,5.95
2024,1,4,7,0.0,5.79
2024,1,4,8,0.0,5.68
2024,1,4,9,44.8,5.88
2024,1,4,10,100.25,6.33
2024,1,4,11,143.93,6.68
2024,1,4,12,164.62,6.86
2024,1,4,13,135.73,6.86
2024,1,4,14,83.7,6.57
2024,1,4,15,22.65,6.01
2024,1,4,16,0.0,5.73
2024,1,4,17,0.0,5.82
2024,1,4,18,0.0,5.87
2024,1,4,19,0.0,5.72
2024,1,4,20,0.0,5.41
2024,1,4,21,0.0,4.99
2024,1,4,22,0.0,4.48
2024,1,4,23,0.0,4.09
2024,1,5,0,0.0,3.87
2024,1,5,1,0.0,3.81
2024,1,5,2,0.0,3.69
2024,1,5,3,0.0,3.56
2024,1,5,4,0.0,3.41
2024,1,5,5,0.0,3.5
2024,1,5,6,0.0,3.67
2024,1,5,7,0.0,3.79
2024,1,5,8,0.0,4.0
2024,1,5,9,38.33,4.56
2024,1,5,10,81.5,5.36
2024,1,5,11,114.32,6.03
2024,1,5,12,124.4,6.45
2024,1,5,13,110.3,6.58
2024,1,5,14,73.78,6.28
2024,1,5,15,23.98,5.22
2024,1,5,16,0.0,4.45
2024,1,5,17,0.0,4.37
2024,1,5,18,0.0,4.5
2024,1,5,19,0.0,4.52
2024,1,5,20,0.0,4.39
2024,1,5,21,0.0,4.33
2024,1,5,22,0.0,4.22
2024,1,5,23,0.0,4.06
2024,1,6,0,0.0,4.04
2024,1,6,1,0.0,4.05
2024,1,6,2,0.0,4.06
2024,1,6,3,0.0,4.05
2024,1,6,4,0.0,4.08
2024,1,6,5,0.0,4.15
2024,1,6,6,0.0,3.98
2024,1,6,7,0.0,3.78
2024,1,6,8,0.0,3.68
2024,1,6,9,62.28,3.75
2024,1,6,10,129.43,3.62
2024,1,6,11,185.1,3.73
2024,1,6,12,209.57,3.94
2024,1,6,13,181.07,4.09
2024,1,6,14,112.05,4.09
2024,1,6,15,32.55,3.93
2024,1,6,16,0.0,3.77
2024,1,6,17,0.0,3.61
2024,1,6,18,0.0,3.5
2024,1,6,19,0.0,3.4
2024,1,6,20,0.0,3.29
2024,1,6,21,0.0,3.31
2024,1,6,22,0.0,3.31
2024,1,6,23,0.0,3.29
2024,1,7,0,0.0,3.09
2024,1,7,1,0.0,2.84
2024,1,7,2,0.0,2.76
2024,1,7,3,0.0,2.58
2024,1,7,4,0.0,2.21
2024,1,7,5,0.0,1.89
2024,1,7,6,0.0,1.62
2024,1,7,7,0.0,1.44
2024,1,7,8,0.0,1.24
2024,1,7,9,65.68,2.02
2024,1,7,10,124.53,2.86
2024,1,7,11,170.55,3.43
2024,1,7,12,180.75,3.94
2024,1,7,13,152.77,4.12
2024,1,7,14,95.93,3.71
2024,1,7,15,29.38,2.26
2024,1,7,16,0.0,1.26
2024,1,7,17,0.0,0.85
2024,1,7,18,0.0,0.49
2024,1,7,19,0.0,0.17
2024,1,7,20,0.0,-0.16
2024,1,7,21,0.0,-0.43
2024,1,7,22,0.0,-0.66
2024,1,7,23,0.0,-0.92
2024,1,8,0,0.0,-1.13
2024,1,8,1,0.0,-1.26
2024,1,8,2,0.0,-1.38
2024,1,8,3,0.0,-1.5
2024,1,8,4,0.0,-1.56
2024,1,8,5,0.0,-1.46
2024,1,8,6,0.0,-1.32
2024,1,8,7,0.0,-1.11
2024,1,8,8,3.2,-0.86
2024,1,8,9,43.12,0.19
2024,1,8,10,95.65,1.02
2024,1,8,11,123.53,1.67
2024,1,8,12,112.88,2.13
2024,1,8,13,101.25,2.09
2024,1,8,14,66.68,1.37
2024,1,8,15,19.23,0.19
2024,1,8,16,0.0,-0.16
2024,1,8,17,0.0,-0.07
2024,1,8,18,0.0,-0.1
2024,1,8,19,0.0,-0.23
2024,1,8,20,0.0,-0.22
2024,1,8,21,0.0,0.09
2024,1,8,22,0.0,0.24
2024,1,8,23,0.0,0.34
2024,1,9,0,0.0,0.25
2024,1,9,1,0.0,0.14
2024,1,9,2,0.0,0.14
2024,1,9,3,0.0,-0.09
2024,1,9,4,0.0,-0.53
2024,1,9,5,0.0,-0.76
2024,1,9,6,0.0,-0.97
2024,1,9,7,0.0,-0.99
2024,1,9,8,4.18,-0.77
2024,1,9,9,60.72,0.14
2024,1,9,10,135.5,1.16
2024,1,9,11,187.68,2.13
2024,1,9,12,205.35,2.74
2024,1,9,13,191.07,2.85
2024,1,9,14,127.25,2.4
2024,1,9,15,43.17,1.38
2024,1,9,16,0.0,0.4
2024,1,9,17,0.0,-0.01
2024,1,9,18,0.0,-0.57
2024,1,9,19,0.0,-0.78
2024,1,9,20,0.0,-0.88
2024,1,9,21,0.0,-0.92
2024,1,9,22,0.0,-0.81
2024,1,9,23,0.0,-0.65
2024,1,10,0,0.0,-0.27
2024,1,10,1,0.0,-0.05
2024,1,10,2,0.0,-0.05
2024,1,10,3,0.0,-0.04
2024,1,10,4,0.0,0.05
2024,1,10,5,0.0,0.19
2024,1,10,6,0.0,0.3
2024,1,10,7,0.0,0.45
2024,1,10,8,3.62,0.87
2024,1,10,9,43.83,1.93
2024,1,10,10,92.12,2.95
2024,1,10,11,118.3,3.73
2024,1,10,12,123.8,4.27
2024,1,10,13,96.3,4.53
2024,1,10,14,71.12,4.5
2024,1,10,15,26.33,3.72
2024,1,10,16,0.0,3.05
2024,1,10,17,0.0,3.01
2024,1,10,18,0.0,2.66
2024,1,10,19,0.0,1.96
2024,1,10,20,0.0,1.43
2024,1,10,21,0.0,1.15
2024,1,10,22,0.0,1.08
2024,1,10,23,0.0,1.12
2024,1,11,0,0.0,1.15
2024,1,11,1,0.0,1.2
2024,1,11,2,0.0,1.18
2024,1,11,3,0.0,1.08
2024,1,11,4,0.0,0.91
2024,1,11,5,0.0,0.73
2024,1,11,6,0.0,0.76
2024,1,11,7,0.0,0.83
2024,1,11,8,3.62,1.06
2024,1,11,9,41.65,2.34
2024,1,11,10,83.47,3.77
